id,descriptor_id,nombre,created_at,updated_at
3615,4671,Uso indebido de influencias,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6836,4671,Concusión,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6837,6836,Es un reconocimiento espontaneo del ilícito si el acusado para no ser descubierto buscó a los propietarios donde realizo trabajos no autorizados,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4672,1923,Delitos cometidos por particulares,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4673,4672,Desacato,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2070,1801,Contra la propiedad,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2071,2070,Delito de despojo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
2072,2071,Existen varias formas comisivas del delito: no necesariamente debe exigirse que el actor actúe con violencia,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3640,2071,Para su configuración no es necesario el cumplimiento de todos sus elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4585,2071,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5513,4585,Puede producirse invadiendo el inmueble o con la tenencia de él,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
6078,4585,Manteniéndose en el,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7265,4585,Elementos contitutivos del delito,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10279,4585,"Al referir ""o cualquier otro medio"" contempla la posibilidad del ""ingreso pacífico""",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10452,4585,"Existe despojo de forma pacífica a la víctima, quien tiene constituido un derecho real",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10677,4585,Violencia,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
10678,10677,Ingreso violento que impide ejercicio real del inmueble.,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5377,2071,Se configura al quitar al sujeto pasivo la posesión o tenencia,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7232,2071,Tutela el bien jurídico de la posesión y no dilucida el mejor derecho propietario,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7510,2071,No es necesario que la víctima sea titular del bien,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
9590,2071,Se configura permaneciendo y manteniendose,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3362,2070,Estafa,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3364,3362,Elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5521,3364,Engaño en negocio jurídico,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5872,3364,Dolo y engaño,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3377,3362,Alzamiento de bienes,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5509,3362,Negocio jurídico criminalizado,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
4812,5509,Momento que se debe apreciar el engaño en la celebración de contrato,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
7745,3362,No corresponde su criminalización por incumplimiento del acuerdo arribado entre partes,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8115,3362,Calificación del hecho al tipo penal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8116,8115,"Requiere la concurrencia del dolo que abarca el engaño, artificios y ardides que inducen a error a la víctima para que disponga de su patrimonio",2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
8173,8115,Para declarar autor del delito de encubrimiento de Estafa con la agravación de victimas múltiples no se requiere ser autor del delito principal,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3378,2070,Usurpación,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3379,3378,Despojo,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
3380,3379,Para la configuración del delito no es necesaria la concurrencia de todos sus elementos,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
5140,2070,Abuso de firma en blanco,2025-07-14 20:53:10.443430,2025-07-14 20:53:10.446053
